hood_id,name,geometry
38,Roscoe Village,"list(c(-87.67378959, -87.66899642, -87.66867617, -87.6880708, -87.68832138, -87.67378959, 41.9469706, 41.94006677, 41.93967753, 41.9394492, 41.94676262, 41.9469706))"
39,Lake View East,"list(c(-87.64909915, -87.64934578, -87.64959832, -87.64635292, -87.64440484, -87.6444257, -87.64346787, -87.64232334, -87.64028765, -87.63876891, -87.63742593, -87.63666563, -87.63655649, -87.6359328, -87.63923994, -87.64909915, 41.93268633, 41.93995139, 41.95273679, 41.95291111, 41.95309313, 41.95115631, 41.94974627, 41.94760874, 41.94391625, 41.94042056, 41.93866917, 41.93701814, 41.93512895, 41.93284924, 41.93286928, 41.93268633))"
40,Lake View,"list(c(-87.67390932, -87.64451841, -87.6445351, -87.64959884, -87.64909915, -87.68237223, -87.68300987, -87.6850786, -87.68739748, -87.6891377, -87.69055468, -87.69260715, -87.69543176, -87.69623489, -87.68832138, -87.68807129, -87.66867667, -87.67365987, -87.67390932, 41.95423486, 41.95459495, 41.95304549, 41.95268837, 41.93268633, 41.93220186, 41.9332708, 41.93391201, 41.93547465, 41.93654975, 41.93752617, 41.93981357, 41.94273473, 41.94675838, 41.94676262, 41.93940078, 41.93962911, 41.94696986, 
41.95423486))"
41,Wrigleyville,"list(c(-87.65454307, -87.65447345, -87.65538148, -87.6568758, -87.65914638, -87.66174074, -87.66187892, -87.66064751, -87.65934818, -87.65740071, -87.65681437, -87.65454307, 41.95136184, 41.94569584, 41.94570121, 41.9454679, 41.94543283, 41.94544804, 41.95082389, 41.95071984, 41.95090591, 41.95103973, 41.9512784, 41.95136184))"
42,Irving Park,"list(c(-87.72782003, -87.69836181, -87.69815236, -87.69685556, -87.69636509, -87.69805196, -87.7181612, -87.71976926, -87.72306108, -87.72745122, -87.72782003, 41.96087537, 41.96120046, 41.94962601, 41.94957041, 41.94671068, 41.9466716, 41.94653899, 41.94795188, 41.94966427, 41.95186659, 41.96087537))"
43,The Villa,"list(c(-87.72751654, -87.72241568, -87.71912529, -87.718227, -87.72737331, -87.72751654, 41.95181851, 41.94932187, 41.9474642, 41.94644249, 41.94639428, 41.95181851))"
44,South Old Iving Park,"list(c(-87.72737377, -87.7272278, -87.73561246, -87.72737377, 41.94634586, 41.94121215, 41.94624377, 41.94634586))"
45,Old Irving Park,"list(c(-87.72789637, -87.72737377, -87.74709463, -87.74747917, -87.72970097, -87.72789637, 41.95966518, 41.94634586, 41.94610928, 41.96078368, 41.9609337, 41.95966518))"
46,Kilbourn Park,"list(c(-87.74709463, -87.73561246, -87.72729219, -87.72711873, -87.74683689, -87.74709463, 41.94610928, 41.94624377, 41.94126091, 41.9390325, 41.93884437, 41.94610928))"
47,Avondale,"list(c(-87.71816167, -87.71688684, -87.71573434, -87.71282846, -87.70953026, -87.7077238, -87.72711827, -87.7273089, -87.71816167, 41.94649057, 41.94415938, 41.94260362, 41.94128051, 41.94029415, 41.93931585, 41.93908092, 41.94634552, 41.94649057))"
48,Dunning,"list(c(-87.78660327, -87.7866161, -87.79388159, -87.79389098, -87.79616168, -87.79600735, -87.80703608, -87.80723421, -87.78660327, 41.95293829, 41.95143721, 41.95142316, 41.95030945, 41.95027167, 41.94547698, 41.94523752, 41.95269572, 41.95293829))"
49,Portage Park,"list(c(-87.78680028, -87.74748006, -87.74699996, -87.78624443, -87.78680028, 41.96025124, 41.96068684, 41.9422833, 41.94179907, 41.96025124))"
50,Scorsch Village,"list(c(-87.80703608, -87.79594248, -87.78634145, -87.78601481, -87.80677114, -87.80703608, 41.94523752, 41.94547667, 41.94562503, 41.93831145, 41.93802112, 41.94523752))"
51,Belmont Centeral,"list(c(-87.76571352, -87.76940932, -87.76952663, -87.77555606, -87.7755977, -87.78187714, -87.78401301, -87.78543529, -87.78617998, -87.76659025, -87.76571352, 41.91651887, 41.91648866, 41.91789354, 41.91792298, 41.92058652, 41.9217306, 41.92217666, 41.9226677, 41.94175034, 41.94199428, 41.91651887))"
52,Hanson Park,"list(c(-87.75586706, -87.76066016, -87.76092936, -87.76242018, -87.76272969, -87.75624453, -87.75586706, 41.91559814, 41.91610639, 41.9222576, 41.92231345, 41.92396141, 41.92407427, 41.91559814))"
53,Cragin,"list(c(-87.74699996, -87.74595829, -87.75586706, -87.75618013, -87.76597205, -87.76659025, -87.74699996, 41.9422833, 41.91443413, 41.91559814, 41.92402552, 41.92392905, 41.94199428, 41.9422833))"
54,Montclare,"list(c(-87.78581794, -87.79301749, -87.79281819, -87.79216981, -87.7916728, -87.79523919, -87.79512336, -87.80624381, -87.80670669, -87.78601564, -87.78581794, 41.93099847, 41.93083888, 41.92371959, 41.92371654, 41.92114772, 41.92111606, 41.91946909, 41.92329777, 41.9379724, 41.9382146, 41.93099847))"
55,Belmont Terrace,"list(c(-87.83648743, -87.8266912, -87.82636034, -87.83621879, -87.83648743, 41.94478765, 41.94503539, 41.93767347, 41.93761973, 41.94478765))"
56,Irving Woods,"list(c(-87.83665967, -87.83172903, -87.8317594, -87.82702328, -87.82669043, -87.83642181, -87.83665967, 41.95602276, 41.95604975, 41.95217597, 41.95225203, 41.94513223, 41.94488422, 41.95602276))"
